season,dow,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
MAM,Sat,13,13,569.1929,221.4761,2638.4435
MAM,Sat,14,13,556.6783,210.4353,2466.3979
MAM,Sat,15,13,564.7135,214.3135,2602.0957
MAM,Sat,16,13,561.4895,211.4646,2544.8640
MAM,Sat,17,13,534.4623,192.6001,2301.6480
MAM,Sat,18,13,537.3386,191.4617,2335.6815
MAM,Sat,19,13,533.5243,193.6517,2237.1222
MAM,Sat,20,13,561.7099,215.9488,2572.0206
MAM,Sat,21,13,600.8530,245.4676,3004.4247
MAM,Sat,22,13,536.7975,184.0155,2282.9039
MAM,Sat,23,13,528.0758,192.4561,2268.0259
MAM,Sat,24,13,557.4885,195.4644,2694.5471
MAM,Sun,1,14,569.0545,200.3965,2755.5990
MAM,Sun,2,14,583.4228,235.9988,2776.2044
MAM,Sun,3,14,592.8188,266.9610,2963.2103
MAM,Sun,4,14,601.9046,271.9319,3046.1943
MAM,Sun,5,14,540.2080,227.4719,2333.9425
MAM,Sun,6,14,556.8730,207.4045,2609.8013
MAM,Sun,7,14,544.5240,199.0115,2388.7918
MAM,Sun,8,14,566.2305,217.8420,2603.0276
MAM,Sun,9,14,558.4066,216.9645,2480.9578
MAM,Sun,10,14,552.1562,214.7474,2464.9077
MAM,Sun,11,14,567.4934,229.9741,2803.6200
MAM,Sun,12,14,563.4974,217.7950,2624.7615
MAM,Sun,13,14,569.1929,221.4761,2638.4435
MAM,Sun,14,14,556.6783,210.4353,2466.3979
MAM,Sun,15,14,564.7135,214.3135,2602.0957
MAM,Sun,16,14,561.4895,211.4646,2544.8640
MAM,Sun,17,14,534.4623,192.6001,2301.6480
MAM,Sun,18,14,537.3386,191.4617,2335.6815
MAM,Sun,19,14,533.5243,193.6517,2237.1222
MAM,Sun,20,14,561.7099,215.9488,2572.0206
MAM,Sun,21,14,600.8530,245.4676,3004.4247
MAM,Sun,22,14,536.7975,184.0155,2282.9039
MAM,Sun,23,14,528.0758,192.4561,2268.0259
MAM,Sun,24,13,557.4885,195.4644,2694.5471
JJA,Mon,1,14,556.2896,217.7952,2537.3403
JJA,Mon,2,14,586.3090,251.5128,2919.4183
JJA,Mon,3,14,610.2790,278.3144,3189.5486
JJA,Mon,4,14,612.2096,275.2318,3184.6129
JJA,Mon,5,14,587.8693,264.2117,2938.5133
JJA,Mon,6,14,572.6036,239.2001,2674.2426
JJA,Mon,7,14,595.0470,254.4918,2932.5937
JJA,Mon,8,14,587.6240,256.2951,2881.2847
JJA,Mon,9,14,562.2736,232.6287,2561.2152
JJA,Mon,10,14,558.0283,228.3397,2506.5919
JJA,Mon,11,14,546.8994,228.4480,2527.2357
JJA,Mon,12,14,539.4479,220.6123,2442.1372
JJA,Mon,13,14,547.3407,220.1834,2455.1740
JJA,Mon,14,14,560.1178,215.8512,2591.9081
JJA,Mon,15,14,559.3331,207.5578,2709.3679
JJA,Mon,16,14,574.7198,208.2265,2827.9452
JJA,Mon,17,14,556.6978,218.4175,2613.6755
JJA,Mon,18,14,545.1180,223.7396,2555.1881
JJA,Mon,19,14,566.2240,212.7373,2711.4148
JJA,Mon,20,14,584.5410,221.4801,2913.8425
JJA,Mon,21,14,551.7905,187.2658,2711.2127
JJA,Mon,22,14,537.1627,183.1482,2556.5423
JJA,Mon,23,14,536.4268,183.2795,2448.7742
JJA,Mon,24,14,531.9632,200.9969,2324.6184
JJA,Tue,1,13,556.2896,217.7952,2537.3403
JJA,Tue,2,13,586.3090,251.5128,2919.4183
JJA,Tue,3,13,610.2790,278.3144,3189.5486
JJA,Tue,4,13,612.2096,275.2318,3184.6129
JJA,Tue,5,13,587.8693,264.2117,2938.5133
JJA,Tue,6,13,572.6036,239.2001,2674.2426
JJA,Tue,7,13,595.0470,254.4918,2932.5937
JJA,Tue,8,13,587.6240,256.2951,2881.2847
JJA,Tue,9,13,562.2736,232.6287,2561.2152
JJA,Tue,10,13,558.0283,228.3397,2506.5919
JJA,Tue,11,13,546.8994,228.4480,2527.2357
JJA,Tue,12,13,539.4479,220.6123,2442.1372
JJA,Tue,13,13,547.3407,220.1834,2455.1740
JJA,Tue,14,13,560.1178,215.8512,2591.9081
JJA,Tue,15,13,559.3331,207.5578,2709.3679
JJA,Tue,16,13,574.7198,208.2265,2827.9452
JJA,Tue,17,13,556.6978,218.4175,2613.6755
JJA,Tue,18,13,545.1180,223.7396,2555.1881
JJA,Tue,19,13,566.2240,212.7373,2711.4148
JJA,Tue,20,13,584.5410,221.4801,2913.8425
JJA,Tue,21,13,551.7905,187.2658,2711.2127
JJA,Tue,22,13,537.1627,183.1482,2556.5423
JJA,Tue,23,13,536.4268,183.2795,2448.7742
JJA,Tue,24,13,531.9632,200.9969,2324.6184
JJA,Wed,1,13,556.2896,217.7952,2537.3403
JJA,Wed,2,13,586.3090,251.5128,2919.4183
JJA,Wed,3,13,610.2790,278.3144,3189.5486
JJA,Wed,4,13,612.2096,275.2318,3184.6129
JJA,Wed,5,13,587.8693,264.2117,2938.5133
JJA,Wed,6,13,572.6036,239.2001,2674.2426
JJA,Wed,7,13,595.0470,254.4918,2932.5937
JJA,Wed,8,13,587.6240,256.2951,2881.2847
JJA,Wed,9,13,562.2736,232.6287,2561.2152
JJA,Wed,10,13,558.0283,228.3397,2506.5919
JJA,Wed,11,13,546.8994,228.4480,2527.2357
JJA,Wed,12,13,539.4479,220.6123,2442.1372
JJA,Wed,13,13,547.3407,220.1834,2455.1740
JJA,Wed,14,13,560.1178,215.8512,2591.9081
JJA,Wed,15,13,559.3331,207.5578,2709.3679
JJA,Wed,16,13,574.7198,208.2265,2827.9452
JJA,Wed,17,13,556.6978,218.4175,2613.6755
JJA,Wed,18,13,545.1180,223.7396,2555.1881
JJA,Wed,19,13,566.2240,212.7373,2711.4148
JJA,Wed,20,13,584.5410,221.4801,2913.8425
JJA,Wed,21,13,551.7905,187.2658,2711.2127
JJA,Wed,22,13,537.1627,183.1482,2556.5423
JJA,Wed,23,13,536.4268,183.2795,2448.7742
JJA,Wed,24,13,531.9632,200.9969,2324.6184
JJA,Thu,1,13,556.2896,217.7952,2537.3403
JJA,Thu,2,13,586.3090,251.5128,2919.4183
JJA,Thu,3,13,610.2790,278.3144,3189.5486
JJA,Thu,4,13,612.2096,275.2318,3184.6129
JJA,Thu,5,13,587.8693,264.2117,2938.5133
JJA,Thu,6,13,572.6036,239.2001,2674.2426
JJA,Thu,7,13,595.0470,254.4918,2932.5937
JJA,Thu,8,13,587.6240,256.2951,2881.2847
JJA,Thu,9,13,562.2736,232.6287,2561.2152
JJA,Thu,10,13,558.0283,228.3397,2506.5919
JJA,Thu,11,13,546.8994,228.4480,2527.2357
JJA,Thu,12,13,539.4479,220.6123,2442.1372
JJA,Thu,13,13,547.3407,220.1834,2455.1740
JJA,Thu,14,13,560.1178,215.8512,2591.9081
JJA,Thu,15,13,559.3331,207.5578,2709.3679
JJA,Thu,16,13,574.7198,208.2265,2827.9452
JJA,Thu,17,13,556.6978,218.4175,2613.6755
JJA,Thu,18,13,545.1180,223.7396,2555.1881
JJA,Thu,19,13,566.2240,212.7373,2711.4148
JJA,Thu,20,13,584.5410,221.4801,2913.8425
JJA,Thu,21,13,551.7905,187.2658,2711.2127
JJA,Thu,22,13,537.1627,183.1482,2556.5423
JJA,Thu,23,13,536.4268,183.2795,2448.7742
JJA,Thu,24,13,531.9632,200.9969,2324.6184
JJA,Fri,1,13,556.2896,217.7952,2537.3403
JJA,Fri,2,13,586.3090,251.5128,2919.4183
JJA,Fri,3,13,610.2790,278.3144,3189.5486
JJA,Fri,4,13,612.2096,275.2318,3184.6129
JJA,Fri,5,13,587.8693,264.2117,2938.5133
JJA,Fri,6,13,572.6036,239.2001,2674.2426
JJA,Fri,7,13,595.0470,254.4918,2932.5937
